year,districtcode,schoolcode,elapass,mathpass,totaltest,mergecode
21,7,40,36.17,23.4,47,7-40
21,14,40,15.74,10.19,108,14-40
21,63,40,26.92,26.92,26,63-40
21,70,40,19.57,15.22,46,70-40
21,84,40,40.91,27.27,22,84-40
21,91,60,23.33,6.67,30,91-60
21,105,40,25.0,22.22,36,105-40
21,112,40,48.39,41.13,124,112-40
21,119,40,28.57,22.32,112,119-40
21,126,60,35.14,21.62,74,126-60
21,140,70,27.67,22.64,159,140-70
21,147,20,21.92,19.52,333,147-20
21,147,30,39.49,30.63,395,147-30
21,147,40,22.73,15.91,264,147-40
21,147,420,67.74,45.16,31,147-420
21,147,430,72.41,58.62,29,147-430
21,147,440,40.0,20.0,15,147-440
21,147,450,33.33,14.29,21,147-450
21,147,460,50.0,16.67,12,147-460
21,147,490,5.88,,17,147-490
21,147,850,20.59,13.24,68,147-850
21,154,40,12.63,8.42,95,154-40
21,161,40,40.74,14.81,27,161-40
21,170,20,18.25,7.3,137,170-20
21,182,20,31.35,34.13,252,182-20
21,196,40,40.74,37.04,27,196-40
21,203,60,18.37,12.24,49,203-60
21,217,40,25.0,21.88,32,217-40
21,217,410,27.27,9.09,11,217-410
21,231,40,33.94,26.61,109,231-40
21,238,100,32.26,19.35,62,238-100
21,245,40,27.45,11.76,51,245-40
21,280,40,27.43,27.88,226,280-40
21,287,40,53.85,26.92,26,287-40
21,308,30,33.85,16.92,65,308-30
21,315,40,5.0,5.0,20,315-40
21,336,40,25.09,23.62,271,336-40
21,350,40,40.58,31.88,69,350-40
21,364,40,33.33,16.67,30,364-40
21,413,200,11.78,6.52,399,413-200
21,413,421,3.45,,29,413-421
21,422,20,50.86,33.62,116,422-20
21,427,40,18.18,18.18,11,427-40
21,434,40,27.97,19.49,118,434-40
21,441,40,27.27,9.09,11,441-40
21,469,60,44.9,38.78,49,469-60
21,476,40,27.43,18.58,113,476-40
21,485,11,19.51,14.63,41,485-11
21,490,40,51.61,29.03,31,490-40
21,497,40,46.25,22.5,80,497-40
21,602,40,44.23,21.15,52,602-40
21,609,40,19.23,17.31,52,609-40
21,623,40,31.82,13.64,22,623-40
21,637,40,25.53,8.51,47,637-40
21,658,40,33.73,38.55,83,658-40
21,700,40,16.67,15.56,90,700-40
21,714,20,62.97,55.38,316,714-20
21,714,60,58.92,54.11,353,714-60
21,721,40,28.32,20.35,113,721-40
21,735,40,9.68,12.9,31,735-40
21,777,20,39.65,32.16,227,777-20
21,840,40,46.15,,13,840-40
21,870,40,40.91,36.36,44,870-40
21,882,40,23.81,14.29,21,882-40
21,896,40,34.72,20.83,72,896-40
21,903,40,46.3,35.19,54,903-40
21,903,800,61.54,23.08,13,903-800
21,910,40,41.44,29.73,111,910-40
21,980,40,37.21,23.26,43,980-40
21,994,40,33.33,16.67,18,994-40
21,1015,20,65.59,54.48,279,1015-20
21,1029,40,37.68,28.99,69,1029-40
21,1071,400,25.0,18.75,48,1071-400
21,1080,400,32.76,24.14,58,1080-400
21,1085,40,29.55,19.32,88,1085-40
21,1092,60,39.73,25.48,365,1092-60
21,1120,40,14.29,17.86,28,1120-40
21,1127,40,40.43,12.77,47,1127-40
21,1134,60,23.08,12.5,104,1134-60
21,1141,40,36.26,25.27,91,1141-40
21,1155,40,20.0,17.78,45,1155-40
21,1162,40,21.92,15.07,73,1162-40
21,1169,60,26.92,28.85,52,1169-60
21,1176,40,38.1,28.57,42,1176-40
21,1183,40,30.39,23.53,102,1183-40
21,1204,40,41.67,16.67,12,1204-40
21,1218,60,16.0,14.0,50,1218-60
21,1232,40,35.85,45.28,53,1232-40
21,1246,40,33.8,33.8,71,1246-40
21,1253,40,20.0,8.39,155,1253-40
21,1260,60,32.2,32.2,59,1260-60
21,1295,40,39.68,33.33,63,1295-40
21,1309,40,45.45,30.3,33,1309-40
21,1316,40,36.64,30.17,232,1316-40
21,1376,120,66.14,54.98,251,1376-120
21,1376,450,73.33,46.67,15,1376-450
21,1376,460,55.56,33.33,27,1376-460
21,1376,470,86.84,55.26,38,1376-470
21,1380,20,22.89,14.46,166,1380-20
21,1407,80,30.0,17.5,120,1407-80
21,1414,20,45.16,35.19,341,1414-20
21,1421,40,18.18,15.15,33,1421-40
21,1428,40,30.53,29.47,95,1428-40
21,1491,40,21.05,31.58,19,1491-40
21,1499,40,28.17,28.17,71,1499-40
21,1526,90,37.23,28.72,94,1526-90
21,1526,410,50.0,50.0,6,1526-410
21,1540,40,37.3,32.54,126,1540-40
21,1554,340,56.3,46.65,373,1554-340
21,1554,400,40.46,33.33,351,1554-400
21,1554,810,42.86,14.29,7,1554-810
21,1561,40,20.0,17.5,40,1561-40
21,1568,80,24.77,19.27,109,1568-80
21,1582,40,5.26,31.58,19,1582-40
21,1600,60,20.41,18.37,49,1600-60
21,1631,40,62.5,55.0,40,1631-40
21,1638,40,39.83,37.23,231,1638-40
21,1638,800,13.79,6.9,29,1638-800
21,1638,9401,,7.69,13,1638-9401
21,1645,40,39.51,29.63,81,1645-40
21,1659,40,48.46,30.77,130,1659-40
21,1666,40,23.81,14.29,21,1666-40
21,1673,60,10.53,7.89,38,1673-60
21,1694,40,48.92,30.94,139,1694-40
21,1729,40,53.57,44.64,56,1729-40
21,1736,40,35.9,23.08,39,1736-40
21,1813,40,42.59,31.48,54,1813-40
21,1855,60,27.27,18.18,22,1855-60
21,1862,140,36.8,31.39,481,1862-140
21,1883,80,35.18,26.09,253,1883-80
21,1900,60,67.78,46.39,388,1900-60
21,1939,40,25.0,8.33,24,1939-40
21,1945,60,43.08,20.0,65,1945-60
21,1945,850,27.91,18.6,43,1945-850
21,1953,60,36.09,30.08,133,1953-60
21,2009,40,27.1,28.97,107,2009-40
21,2016,120,17.14,14.29,35,2016-120
21,2058,180,45.03,44.7,302,2058-180
21,2114,120,56.1,39.02,41,2114-120
21,2128,20,22.22,16.67,36,2128-20
21,2135,60,23.81,4.76,21,2135-60
21,2135,9419,28.57,14.29,7,2135-9419
21,2142,60,15.38,38.46,13,2142-60
21,2177,20,49.63,37.13,272,2177-20
21,2198,80,48.84,27.91,43,2198-80
21,2212,40,40.0,30.0,10,2212-40
21,2217,40,52.3,44.83,174,2217-40
21,2226,40,15.38,7.69,13,2226-40
21,2233,80,33.33,31.25,48,2233-80
21,2233,400,13.59,4.35,184,2233-400
21,2240,20,26.32,26.32,19,2240-20
21,2289,180,12.5,8.75,320,2289-180
21,2289,445,27.78,5.56,18,2289-445
21,2289,540,21.69,22.31,484,2289-540
21,2289,600,15.52,14.44,277,2289-600
21,2289,720,9.04,5.65,177,2289-720
21,2296,60,44.92,33.9,236,2296-60
21,2303,120,27.48,16.41,262,2303-120
21,2310,40,53.57,32.14,28,2310-40
21,2394,60,38.71,25.81,31,2394-60
21,2415,400,7.14,7.14,14,2415-400
21,2420,40,52.6,50.68,365,2420-40
21,2422,60,54.29,35.24,105,2422-60
21,2422,850,22.22,13.33,45,2422-850
21,2436,20,31.48,25.31,324,2436-20
21,2450,20,52.7,62.16,518,2450-20
21,2478,40,40.15,34.09,132,2478-40
21,2478,800,58.82,29.41,17,2478-800
21,2485,60,27.91,37.21,43,2485-60
21,2527,40,41.38,41.38,29,2527-40
21,2534,40,27.78,36.11,36,2534-40
21,2541,60,18.75,4.17,48,2541-60
21,2562,40,32.64,23.26,288,2562-40
21,2576,60,25.0,15.62,64,2576-60
21,2583,40,46.28,28.16,309,2583-40
21,2604,20,39.19,34.68,444,2604-20
21,2605,60,37.1,37.1,62,2605-60
21,2611,80,46.54,42.17,434,2611-80
21,2618,60,32.61,21.74,46,2618-60
21,2625,40,42.86,32.14,28,2625-40
21,2632,40,22.22,,18,2632-40
21,2639,40,44.0,36.0,50,2639-40
21,2646,40,23.08,7.69,39,2646-40
21,2660,60,21.05,34.21,38,2660-60
21,2695,60,30.86,21.56,269,2695-60
21,2695,280,25.85,18.05,205,2695-280
21,2695,400,2.7,,37,2695-400
21,2695,430,9.09,9.09,11,2695-430
21,2695,450,16.67,8.33,12,2695-450
21,2695,860,23.91,8.7,46,2695-860
21,2702,80,24.26,20.59,136,2702-80
21,2730,40,26.67,26.67,45,2730-40
21,2737,40,26.67,6.67,15,2737-40
21,2744,22,7.27,9.09,55,2744-22
21,2758,40,32.45,21.51,265,2758-40
21,2793,60,14.81,7.1,324,2793-60
21,2793,410,29.09,17.89,464,2793-410
21,2793,480,62.2,57.32,82,2793-480
21,2793,490,28.85,14.42,104,2793-490
21,2793,580,21.83,11.68,394,2793-580
21,2800,80,40.62,33.59,128,2800-80
21,2814,100,31.11,36.67,90,2814-100
21,2828,40,26.32,17.11,76,2828-40
21,2835,80,37.11,36.58,380,2835-80
21,2842,40,61.11,48.15,54,2842-40
21,2849,20,30.71,22.44,254,2849-20
21,2849,220,24.1,13.86,166,2849-220
21,2849,250,46.15,7.69,13,2849-250
21,2856,80,13.11,19.67,61,2856-80
21,2863,40,20.0,6.67,15,2863-40
21,2884,20,35.1,25.5,302,2884-20
21,2891,40,4.17,12.5,24,2891-40
21,2898,40,32.79,35.25,122,2898-40
21,2912,20,37.88,27.27,66,2912-20
21,2940,20,23.53,5.88,17,2940-20
21,2961,40,26.47,17.65,34,2961-40
21,3129,40,24.72,15.73,89,3129-40
21,3129,410,52.38,42.86,42,3129-410
21,3150,80,47.66,45.79,107,3150-80
21,3171,60,32.86,32.86,70,3171-60
21,3206,60,26.32,28.95,38,3206-60
21,3213,60,39.39,27.27,33,3213-60
21,3220,140,38.12,35.62,160,3220-140
21,3269,150,20.98,15.8,367,3269-150
21,3269,360,32.18,25.43,519,3269-360
21,3269,400,20.0,6.67,30,3269-400
21,3269,410,3.7,,54,3269-410
21,3269,420,16.92,13.13,396,3269-420
21,3269,840,40.47,31.65,556,3269-840
21,3276,40,26.92,25.0,52,3276-40
21,3290,140,35.08,21.55,362,3290-140
21,3297,160,35.85,33.02,106,3297-160
21,3304,40,55.17,34.48,58,3304-40
21,3311,60,17.61,11.95,159,3311-60
21,3318,100,19.23,30.77,26,3318-100
21,3325,120,34.25,35.62,73,3325-120
21,3332,40,17.57,9.46,74,3332-40
21,3339,120,50.49,36.48,307,3339-120
21,3360,60,15.22,15.22,92,3360-60
21,3367,80,46.59,20.45,88,3367-80
21,3381,80,34.91,28.4,169,3381-80
21,3381,430,15.53,6.8,309,3381-430
21,3381,450,25.0,10.0,40,3381-450
21,3409,220,19.87,21.15,156,3409-220
21,3409,9100,10.42,2.08,48,3409-9100
21,3427,800,18.18,,11,3427-800
21,3428,40,31.75,22.22,63,3428-40
21,3430,100,16.67,14.41,222,3430-100
21,3434,40,1.14,,88,3434-40
21,3437,110,47.54,43.77,345,3437-110
21,3444,180,49.21,38.58,254,3444-180
21,3479,60,57.81,45.31,320,3479-60
21,3500,140,32.47,26.29,194,3500-140
21,3500,800,48.21,19.64,56,3500-800
21,3549,60,52.22,44.63,540,3549-60
21,3549,400,44.44,11.11,27,3549-400
21,3612,100,32.23,17.58,273,3612-100
21,3619,8,0.35,,286,3619-8
21,3619,12,1.96,0.98,204,3619-12
21,3619,14,2.34,,214,3619-14
21,3619,18,2.14,0.36,281,3619-18
21,3619,20,40.33,14.92,362,3619-20
21,3619,26,1.91,0.48,209,3619-26
21,3619,29,6.25,2.38,336,3619-29
21,3619,32,1.43,,140,3619-32
21,3619,38,7.63,0.42,236,3619-38
21,3619,71,23.08,6.29,143,3619-71
21,3619,176,41.01,15.11,139,3619-176
21,3619,407,18.89,3.33,90,3619-407
21,3619,434,10.39,2.6,77,3619-434
21,3619,435,52.66,31.07,338,3619-435
21,3619,444,3.03,,99,3619-444
21,3619,451,6.84,1.58,190,3619-451
21,3619,870,6.56,1.64,61,3619-870
21,3619,880,40.96,18.07,83,3619-880
21,3633,80,51.72,34.48,58,3633-80
21,3647,20,33.53,29.94,167,3647-20
21,3654,410,54.55,33.33,33,3654-410
21,3661,40,38.46,38.46,65,3661-40
21,3668,100,30.65,22.58,62,3668-100
21,3675,60,46.51,33.72,258,3675-60
21,3675,450,18.75,12.5,16,3675-450
21,3682,120,30.81,24.86,185,3682-120
21,3689,40,13.33,13.33,30,3689-40
21,3696,40,25.93,7.41,27,3696-40
21,3787,100,42.07,32.32,164,3787-100
21,3794,120,33.52,34.07,182,3794-120
21,3822,60,37.04,34.57,405,3822-60
21,3850,120,21.74,21.74,46,3850-120
21,3857,180,56.3,49.1,389,3857-180
21,3871,40,6.38,8.51,47,3871-40
21,3892,180,57.2,38.54,493,3892-180
21,3899,40,19.4,16.42,67,3899-40
21,3906,60,30.67,20.0,75,3906-60
21,3920,40,8.7,21.74,23,3920-40
21,3925,50,60.47,60.47,172,3925-50
21,3925,140,53.72,42.02,188,3925-140
21,3934,40,38.27,33.33,81,3934-40
21,3941,80,23.75,27.5,80,3941-80
21,3948,60,12.77,8.51,47,3948-60
21,3955,80,33.91,34.48,174,3955-80
21,3955,430,,16.67,6,3955-430
21,3962,60,35.94,29.95,217,3962-60
21,3969,40,34.48,20.69,29,3969-40
21,3983,60,14.29,14.29,105,3983-60
21,3990,20,19.05,9.52,42,3990-20
21,4018,140,47.5,39.04,520,4018-140
21,4025,60,33.33,28.89,45,4025-60
21,4060,130,43.21,41.23,405,4060-130
21,4067,100,44.44,35.8,81,4067-100
21,4074,200,38.38,37.37,99,4074-200
21,4088,60,22.08,9.09,77,4088-60
21,4095,40,35.29,32.13,221,4095-40
21,4137,80,42.86,39.29,84,4137-80
21,4144,60,39.0,34.67,300,4144-60
21,4151,100,51.92,38.46,52,4151-100
21,4165,60,35.14,45.05,111,4165-60
21,4179,290,39.18,23.88,268,4179-290
21,4179,300,51.08,40.72,415,4179-300
21,4186,80,26.09,23.19,69,4186-80
21,4207,60,5.41,10.81,37,4207-60
21,4221,15,17.95,17.95,39,4221-15
21,4228,80,59.32,33.9,59,4228-80
21,4263,60,25.0,10.0,20,4263-60
21,4270,40,29.41,23.53,17,4270-40
21,4305,100,23.86,15.91,88,4305-100
21,4312,80,62.11,43.68,190,4312-80
21,4347,120,39.13,28.26,46,4347-120
21,4368,40,20.0,17.5,40,4368-40
21,4375,60,12.5,15.0,40,4375-60
21,4389,60,29.35,31.52,92,4389-60
21,4459,40,9.09,13.64,22,4459-40
21,4473,100,32.74,27.38,168,4473-100
21,4501,180,31.87,22.53,182,4501-180
21,4508,40,25.0,7.14,28,4508-40
21,4515,100,45.15,32.52,206,4515-100
21,4522,100,68.75,62.5,16,4522-100
21,4529,40,34.62,23.08,26,4529-40
21,4536,80,47.95,35.62,73,4536-80
21,4543,60,33.33,25.56,90,4543-60
21,4557,40,44.44,14.81,27,4557-40
21,4571,60,33.33,25.0,24,4571-60
21,4578,60,47.86,39.32,117,4578-60
21,4606,40,20.59,14.71,34,4606-40
21,4613,100,49.1,46.59,279,4613-100
21,4620,491,27.94,12.7,433,4620-491
21,4620,492,16.86,7.56,344,4620-492
21,4620,494,7.22,3.97,277,4620-494
21,4620,499,55.56,37.5,72,4620-499
21,4620,800,37.29,15.25,59,4620-800
21,4634,40,32.5,22.5,40,4634-40
21,4641,80,44.0,36.0,50,4641-80
21,4753,80,41.7,33.18,223,4753-80
21,4760,40,50.0,50.0,48,4760-40
21,4781,180,42.69,27.49,171,4781-180
21,4795,60,18.92,21.62,37,4795-60
21,4802,180,26.22,25.61,164,4802-180
21,4851,320,54.63,33.33,108,4851-320
21,4865,40,38.24,26.47,34,4865-40
21,4872,120,52.83,35.85,106,4872-120
21,4872,800,33.33,27.78,18,4872-800
21,4893,80,44.61,30.86,269,4893-80
21,4893,410,7.14,7.14,14,4893-410
21,4904,80,16.67,22.92,48,4904-80
21,4956,50,23.94,21.13,71,4956-50
21,4963,40,31.58,15.79,38,4963-40
21,4970,35,31.92,24.18,426,4970-35
21,4970,400,58.33,33.33,12,4970-400
21,5019,80,46.91,38.27,81,5019-80
21,5026,40,18.11,9.45,127,5026-40
21,5054,20,41.64,34.47,293,5054-20
21,5100,120,39.17,26.27,217,5100-120
21,5124,80,30.77,30.77,13,5124-80
21,5130,40,41.3,39.13,46,5130-40
21,5138,100,21.79,21.15,156,5138-100
21,5264,280,26.82,16.2,179,5264-280
21,5271,280,22.39,20.3,335,5271-280
21,5271,340,23.05,18.11,243,5271-340
21,5271,440,36.0,20.0,25,5271-440
21,5271,451,25.0,18.75,16,5271-451
21,5278,40,25.2,25.98,127,5278-40
21,5306,40,27.27,20.45,44,5306-40
21,5348,40,27.91,20.93,43,5348-40
21,5355,80,60.4,42.95,149,5355-80
21,5362,80,42.11,31.58,19,5362-80
21,5376,40,9.68,6.45,31,5376-40
21,5390,80,56.81,50.19,257,5390-80
21,5397,800,53.85,53.85,13,5397-800
21,5432,40,36.8,22.4,125,5432-40
21,5439,120,23.81,21.03,252,5439-120
21,5457,220,35.62,19.18,73,5457-220
21,5460,160,25.0,13.33,180,5460-160
21,5467,40,28.89,22.22,45,5467-40
21,5474,80,43.21,24.69,81,5474-80
21,5523,110,44.55,32.67,101,5523-110
21,5586,80,25.4,41.27,63,5586-80
21,5593,80,24.24,22.73,66,5593-80
21,5607,270,28.9,28.9,474,5607-270
21,5621,140,38.79,29.31,232,5621-140
21,5628,40,56.72,35.82,67,5628-40
21,5642,10,37.63,38.71,93,5642-10
21,5656,100,56.53,35.96,559,5656-100
21,5656,410,4.35,,23,5656-410
21,5663,280,41.83,21.24,306,5663-280
21,5670,80,26.92,23.08,26,5670-80
21,5726,40,18.18,11.36,44,5726-40
21,5733,80,35.9,33.33,39,5733-80
21,5740,40,14.29,7.14,14,5740-40
21,5747,180,23.64,10.91,220,5747-180
21,5754,200,24.04,14.42,104,5754-200
21,5757,40,17.5,12.5,40,5757-40
21,5810,40,29.63,33.33,27,5810-40
21,5824,80,21.19,12.71,118,5824-80
21,5852,20,32.14,30.36,224,5852-20
21,5866,60,52.56,41.03,78,5866-60
21,5901,100,35.38,28.75,407,5901-100
21,5960,20,28.57,21.43,42,5960-20
21,5985,220,26.87,23.88,67,5985-220
21,5985,410,66.67,33.33,6,5985-410
21,5992,80,34.62,26.92,26,5992-80
21,6013,20,32.35,19.12,136,6013-20
21,6027,40,37.25,27.45,51,6027-40
21,6083,20,42.42,42.93,198,6083-20
21,6118,40,37.93,29.31,58,6118-40
21,6125,140,23.84,23.49,281,6125-140
21,6125,430,33.33,20.0,15,6125-430
21,6125,800,7.69,,13,6125-800
21,6174,290,27.27,17.05,264,6174-290
21,6174,430,60.0,56.0,50,6174-430
21,6174,450,41.51,28.3,53,6174-450
21,6174,460,24.12,14.91,228,6174-460
21,6174,470,26.17,13.42,149,6174-470
21,6174,560,46.47,32.71,269,6174-560
21,6181,40,53.39,48.67,339,6181-40
21,6195,140,42.03,28.99,138,6195-140
21,6216,200,31.62,20.51,117,6216-200
21,6223,360,26.96,23.48,230,6223-360
21,6223,380,33.91,30.75,348,6223-380
21,6223,400,15.79,5.26,19,6223-400
21,6223,800,40.0,30.0,10,6223-800
21,6230,100,17.65,17.65,34,6230-100
21,6237,140,25.81,15.05,93,6237-140
21,6244,20,58.31,49.15,295,6244-20
21,6244,280,44.24,33.09,269,6244-280
21,6244,430,16.0,4.0,25,6244-430
21,6251,40,30.43,13.04,23,6251-40
21,6293,80,34.29,20.0,35,6293-80
21,6300,20,12.21,6.49,262,6300-20
21,6300,340,25.71,14.6,315,6300-340
21,6307,50,32.24,30.2,245,6307-50
21,6307,200,35.76,32.12,302,6307-200
21,6321,200,30.56,15.28,72,6321-200
21,6328,120,48.77,44.67,244,6328-120
21,6328,400,7.69,,13,6328-400
21,6335,100,44.68,38.3,47,6335-100
21,6354,100,17.39,4.35,23,6354-100
21,6370,80,45.31,32.81,128,6370-80
21,6384,100,24.24,15.15,66,6384-100
21,6419,100,59.58,52.92,240,6419-100
21,6426,120,21.31,16.39,61,6426-120
21,6440,40,11.11,,9,6440-40
21,6461,140,25.0,18.1,116,6461-140
21,6470,100,28.57,22.96,196,6470-100
21,6475,60,39.58,20.83,48,6475-60
21,6482,40,50.91,34.55,55,6482-40
21,6545,20,45.37,30.09,216,6545-20
21,6608,60,50.0,46.77,124,6608-60
21,6615,80,14.29,,7,6615-80
21,6678,100,26.32,16.54,133,6678-100
21,6685,160,41.64,28.57,329,6685-160
21,6685,430,3.85,,26,6685-430
21,6692,140,36.9,30.95,84,6692-140
21,6713,80,5.88,5.88,17,6713-80
21,6734,40,58.33,51.85,108,6734-40
21,8001,8115,20.39,11.65,103,8001-8115
21,8001,8124,31.82,10.61,66,8001-8124
21,8106,1251,8.2,3.28,61,8106-1251
21,8139,8139,22.58,9.68,31,8139-8139
