year,districtcode,schoolcode,black,lowincome,hispanic,white,mergecode
18,7,20,0.8,72.94,55.44,42.97,7-20
18,7,40,1.08,64.05,41.62,55.68,7-40
18,7,9100,0.0,0.0,0.0,100.0,7-9100
18,14,40,1.72,69.89,5.16,90.75,14-40
18,14,130,2.7,56.4,10.11,85.39,14-130
18,14,140,3.23,61.94,11.61,79.35,14-140
18,14,200,0.0,55.07,3.62,95.65,14-200
18,14,210,0.91,62.84,6.95,89.73,14-210
18,63,20,0.64,42.68,4.46,91.72,63-20
18,63,40,1.04,27.08,0.0,95.83,63-40
18,63,60,0.0,39.24,7.59,88.61,63-60
18,70,20,1.28,46.92,7.44,87.69,70-20
18,70,40,0.92,34.46,5.23,91.38,70-40
18,84,20,0.0,33.72,6.4,91.86,84-20
18,84,40,0.0,25.71,1.43,92.86,84-40
18,91,60,0.57,46.86,14.86,81.14,91-60
18,91,70,0.0,50.62,14.81,77.78,91-70
18,91,80,0.57,56.25,13.35,82.95,91-80
18,105,20,1.04,45.6,24.35,74.09,105-20
18,105,40,0.0,53.1,22.12,76.99,105-40
18,105,250,0.0,42.86,19.78,79.12,105-250
18,112,40,2.42,32.69,5.08,85.96,112-40
18,112,60,0.83,40.72,4.99,82.55,112-60
18,112,80,1.33,38.44,6.16,82.7,112-80
18,112,100,1.62,43.32,4.45,84.21,112-100
18,119,20,1.5,36.09,4.26,90.48,119-20
18,119,40,0.65,25.54,4.33,91.34,119-40
18,119,50,1.92,36.86,2.56,91.35,119-50
18,119,60,0.85,38.24,2.27,93.48,119-60
18,126,20,0.52,24.93,1.05,95.54,126-20
18,126,60,0.0,21.83,2.95,94.99,126-60
18,126,80,1.19,25.67,1.79,95.52,126-80
18,126,140,0.0,0.0,0.0,100.0,126-140
18,140,50,0.8,54.31,6.81,86.97,140-50
18,140,70,0.9,35.74,4.13,90.32,140-70
18,140,80,0.0,48.0,10.4,86.4,140-80
18,140,100,0.8,57.6,0.0,96.8,140-100
18,140,180,0.68,80.14,6.85,79.45,140-180
18,140,200,0.78,47.66,2.34,93.36,140-200
18,140,260,0.0,47.06,3.36,93.28,140-260
18,140,280,2.18,74.24,10.04,78.6,140-280
18,140,9100,0.0,28.13,12.5,81.25,140-9100
18,147,20,3.73,36.06,12.47,68.82,147-20
18,147,30,4.36,23.52,7.82,75.21,147-30
18,147,40,7.91,42.14,10.34,65.68,147-40
18,147,60,8.12,48.41,16.81,52.46,147-60
18,147,80,9.4,69.13,18.12,53.69,147-80
18,147,100,13.31,51.08,3.24,70.14,147-100
18,147,110,2.07,14.05,5.17,75.62,147-110
18,147,120,3.09,21.24,6.18,82.43,147-120
18,147,130,2.97,27.68,7.91,71.99,147-130
18,147,135,2.59,19.83,2.59,86.21,147-135
18,147,145,0.64,14.65,5.73,90.45,147-145
18,147,150,5.88,50.15,5.57,58.82,147-150
18,147,155,0.0,41.28,67.44,28.49,147-155
18,147,160,5.22,43.19,5.8,68.99,147-160
18,147,165,3.64,33.51,12.42,63.06,147-165
18,147,180,3.94,55.65,14.21,53.94,147-180
18,147,190,6.58,55.89,25.48,49.32,147-190
18,147,195,2.57,22.95,6.51,82.02,147-195
18,147,200,3.19,24.17,5.42,80.97,147-200
18,147,210,0.68,10.2,2.72,85.03,147-210
18,147,220,1.6,14.38,3.88,87.21,147-220
18,147,240,12.33,53.97,11.78,63.84,147-240
18,147,250,7.11,35.39,9.32,72.67,147-250
18,147,260,6.89,50.0,11.56,58.22,147-260
18,147,280,6.08,56.96,10.89,57.22,147-280
18,147,300,3.15,37.84,13.36,68.62,147-300
18,147,320,6.18,50.91,17.45,54.91,147-320
18,147,340,2.13,39.01,13.48,77.3,147-340
18,147,410,9.16,58.52,15.27,51.91,147-410
18,147,420,3.14,27.67,4.4,80.5,147-420
18,147,430,0.0,11.54,3.08,92.31,147-430
18,147,450,4.17,25.0,4.17,87.5,147-450
18,147,460,0.0,13.43,1.49,94.03,147-460
18,147,490,5.19,28.57,14.29,77.92,147-490
18,147,800,25.0,0.0,0.0,25.0,147-800
18,147,850,4.38,27.92,6.39,80.11,147-850
18,154,40,0.55,49.86,41.87,57.3,154-40
18,154,190,0.72,76.58,75.68,22.34,154-190
18,154,290,1.03,70.03,62.02,36.69,154-290
18,161,20,0.0,31.16,1.45,96.38,161-20
18,161,40,1.01,27.27,3.03,92.93,161-40
18,161,250,0.0,36.92,4.62,95.38,161-250
18,170,20,0.61,50.3,1.82,72.12,170-20
18,170,30,0.75,61.94,1.24,68.16,170-30
18,170,60,0.31,66.14,1.88,59.56,170-60
18,170,80,0.0,59.06,1.41,68.71,170-80
18,170,120,0.0,79.33,0.0,99.44,170-120
18,170,130,0.0,53.13,3.13,76.56,170-130
18,170,250,0.0,70.21,2.13,70.21,170-250
18,170,400,0.0,50.0,0.0,78.57,170-400
18,182,20,2.58,25.45,6.56,77.63,182-20
18,182,45,3.92,32.21,8.68,73.53,182-45
18,182,50,2.61,23.69,3.61,81.73,182-50
18,182,55,2.72,36.51,5.99,76.29,182-55
18,182,60,3.35,43.44,6.56,75.84,182-60
18,196,20,0.0,40.83,11.83,88.17,196-20
18,196,40,0.0,19.23,3.3,93.41,196-40
18,196,60,0.0,31.82,9.09,90.91,196-60
18,203,40,0.0,23.72,4.89,93.64,203-40
18,203,60,0.22,21.7,2.46,95.75,203-60
18,203,9100,0.0,0.0,0.0,100.0,203-9100
18,217,20,0.0,47.6,3.32,93.36,217-20
18,217,40,1.32,35.1,9.93,84.77,217-40
18,217,200,0.0,41.35,3.76,95.49,217-200
18,217,410,0.0,25.0,0.0,98.61,217-410
18,231,40,1.48,13.56,4.24,89.83,231-40
18,231,70,0.79,20.14,4.19,91.06,231-70
18,231,90,1.08,22.1,3.5,90.57,231-90
18,238,60,0.0,57.72,2.53,89.87,238-60
18,238,100,0.37,50.56,1.87,89.14,238-100
18,238,120,0.0,57.66,2.92,89.42,238-120
18,245,20,0.68,27.7,3.38,94.93,245-20
18,245,40,0.66,26.91,2.66,93.69,245-40
18,280,20,1.35,37.24,9.31,80.93,280-20
18,280,40,0.42,31.81,7.42,86.0,280-40
18,280,60,0.6,38.86,11.14,73.19,280-60
18,280,110,1.55,44.72,6.52,82.92,280-110
18,280,120,1.14,53.41,6.82,81.82,280-120
18,280,140,1.54,43.85,3.08,93.85,280-140
18,280,150,1.25,18.75,8.75,80.0,280-150
18,280,160,0.0,62.5,31.25,62.5,280-160
18,280,180,3.85,63.61,13.31,73.08,280-180
18,287,20,0.45,10.27,1.79,95.54,287-20
18,287,40,0.88,12.39,0.0,97.35,287-40
18,308,20,0.0,70.97,4.84,90.32,308-20
18,308,30,14.81,39.95,4.23,78.04,308-30
18,308,100,10.0,56.0,0.0,84.0,308-100
18,308,120,0.0,55.0,2.5,97.5,308-120
18,308,140,10.8,54.85,6.09,78.67,308-140
18,308,160,24.28,61.34,11.82,57.83,308-160
18,308,810,0.0,37.25,17.65,80.39,308-810
18,308,9410,0.0,0.0,0.0,83.33,308-9410
18,315,20,0.0,68.55,3.77,9.43,315-20
18,315,30,1.33,54.67,1.33,17.33,315-30
18,315,40,1.69,40.68,5.93,20.34,315-40
18,315,60,0.0,0.0,0.0,66.67,315-60
18,336,20,2.64,46.31,17.41,75.46,336-20
18,336,40,1.21,36.53,17.33,79.03,336-40
18,336,80,3.1,56.21,22.41,63.45,336-80
18,336,100,5.99,63.13,17.97,70.05,336-100
18,336,110,1.56,38.84,15.4,79.46,336-110
18,336,120,2.38,53.97,30.95,61.11,336-120
18,336,160,0.43,43.97,13.36,81.47,336-160
18,336,180,2.32,39.4,18.87,74.17,336-180
18,336,850,4.17,65.28,22.22,68.06,336-850
18,350,20,1.82,12.12,4.85,86.06,350-20
18,350,40,0.0,12.77,6.38,88.3,350-40
18,350,60,0.72,15.94,8.7,82.61,350-60
18,350,100,0.93,17.08,4.66,89.13,350-100
18,364,20,1.55,26.29,6.7,89.18,364-20
18,364,40,0.0,36.08,5.15,93.3,364-40
18,413,20,28.99,75.94,37.08,24.65,413-20
18,413,60,16.21,72.82,24.94,47.88,413-60
18,413,80,22.15,78.33,31.14,38.52,413-80
18,413,110,19.13,73.62,22.9,43.48,413-110
18,413,120,27.66,83.51,39.36,22.61,413-120
18,413,150,28.81,84.75,50.85,16.95,413-150
18,413,170,24.65,70.05,33.07,32.92,413-170
18,413,180,20.8,77.2,31.74,37.29,413-180
18,413,200,22.06,62.95,35.24,37.67,413-200
18,413,210,40.16,92.37,32.93,17.27,413-210
18,413,260,24.84,66.52,31.32,34.56,413-260
18,413,320,16.36,69.98,30.43,45.13,413-320
18,413,410,15.15,42.42,15.15,69.7,413-410
18,413,421,36.76,68.65,25.95,32.97,413-421
18,413,850,9.76,56.1,12.2,73.17,413-850
18,422,20,4.43,35.03,13.75,74.72,422-20
18,422,60,2.08,41.56,10.39,82.86,422-60
18,422,100,3.27,45.54,10.12,78.27,422-100
18,422,120,4.11,38.9,11.51,75.89,422-120
18,422,9803,0.0,0.0,0.0,100.0,422-9803
18,427,20,0.0,28.57,0.95,97.14,427-20
18,427,40,0.0,15.71,1.43,91.43,427-40
18,427,250,0.0,22.58,3.23,96.77,427-250
18,434,40,0.56,36.85,12.41,83.33,434-40
18,434,60,1.21,49.26,21.46,72.33,434-60
18,434,80,0.84,44.29,19.5,76.32,434-80
18,441,20,0.0,52.34,1.87,93.46,441-20
18,441,40,0.0,41.18,1.47,92.65,441-40
18,441,130,0.0,62.5,10.42,85.42,441-130
18,441,210,1.43,45.71,2.86,90.0,441-210
18,441,800,0.0,50.0,0.0,100.0,441-800
18,469,20,2.97,24.58,2.97,89.83,469-20
18,469,40,3.66,25.61,2.44,87.8,469-40
18,469,60,1.71,10.26,3.42,92.74,469-60
18,469,80,4.08,20.41,3.4,88.44,469-80
18,476,40,0.78,42.19,4.3,72.27,476-40
18,476,60,1.41,50.7,5.07,63.66,476-60
18,476,80,1.17,57.48,4.4,60.7,476-80
18,476,130,1.99,57.17,3.78,68.13,476-130
18,485,11,1.15,31.68,6.49,90.46,485-11
18,485,34,1.62,42.86,3.57,92.86,485-34
18,485,120,0.0,28.07,0.0,100.0,485-120
18,490,20,1.01,36.68,1.01,97.49,490-20
18,490,40,2.44,41.46,2.44,92.68,490-40
18,497,20,2.24,29.48,1.12,95.15,497-20
18,497,40,0.26,25.78,0.78,97.66,497-40
18,497,60,2.31,32.66,1.45,94.51,497-60
18,602,20,1.67,40.83,5.0,88.06,602-20
18,602,21,0.9,34.23,5.41,89.19,602-21
18,602,40,0.67,29.19,5.37,88.59,602-40
18,609,20,0.42,58.44,1.9,97.26,609-20
18,609,40,0.85,45.96,5.96,91.49,609-40
18,609,60,0.0,60.36,2.7,95.5,609-60
18,616,50,0.0,41.06,2.65,94.04,616-50
18,623,20,0.0,57.78,5.0,45.0,623-20
18,623,40,0.0,45.95,3.38,50.68,623-40
18,637,20,0.48,43.68,4.3,92.84,637-20
18,637,40,0.95,33.18,1.42,96.21,637-40
18,637,200,0.96,41.35,0.0,96.15,637-200
18,657,20,0.48,11.48,5.26,93.3,657-20
18,658,20,0.47,29.18,7.53,89.18,658-20
18,658,21,0.91,27.4,8.68,87.21,658-21
18,658,40,0.3,22.85,6.23,89.91,658-40
18,665,20,0.83,17.16,8.82,86.05,665-20
18,700,20,2.14,44.33,6.21,90.36,700-20
18,700,40,0.65,35.5,5.86,92.51,700-40
18,700,60,3.04,38.26,6.52,88.26,700-60
18,714,20,3.51,7.5,6.06,71.45,714-20
18,714,40,1.96,2.67,7.3,75.44,714-40
18,714,60,3.34,6.21,4.86,76.19,714-60
18,714,80,2.8,7.12,5.34,63.99,714-80
18,714,100,1.71,5.52,6.48,73.52,714-100
18,714,150,3.52,7.65,5.83,72.33,714-150
18,714,190,2.95,10.26,6.92,57.31,714-190
18,714,250,0.51,4.1,5.9,86.15,714-250
18,714,270,2.5,7.14,7.14,64.88,714-270
18,721,40,52.15,42.88,6.85,22.72,721-40
18,721,80,42.41,44.28,9.58,25.5,721-80
18,735,20,0.51,79.08,6.12,90.31,735-20
18,735,40,0.0,42.14,2.86,90.71,735-40
18,735,210,0.0,66.67,7.84,88.24,735-210
18,777,20,1.39,24.91,10.83,84.26,777-20
18,777,40,1.57,29.37,10.99,84.08,777-40
18,777,60,1.16,28.77,10.67,82.6,777-60
18,777,110,1.61,33.56,17.24,76.55,777-110
18,777,120,0.0,20.59,11.76,88.24,777-120
18,777,140,0.67,53.88,24.39,69.84,777-140
18,777,150,0.0,25.64,10.26,84.62,777-150
18,777,160,1.52,19.7,3.79,93.18,777-160
18,840,20,0.0,51.69,0.0,98.88,840-20
18,840,40,0.0,47.37,0.0,98.95,840-40
18,840,450,0.0,0.0,0.0,50.0,840-450
18,870,20,0.21,41.93,2.31,94.97,870-20
18,870,40,0.4,38.71,2.42,95.56,870-40
18,870,60,1.69,44.07,0.85,94.92,870-60
18,882,40,0.49,46.83,14.15,81.95,882-40
18,882,60,1.12,43.26,12.92,83.71,882-60
18,896,20,0.91,26.65,3.19,91.34,896-20
18,896,40,1.13,19.55,3.76,92.48,896-40
18,896,60,1.59,26.98,4.23,91.01,896-60
18,903,20,1.3,38.96,2.38,93.51,903-20
18,903,40,1.52,34.6,5.32,89.73,903-40
18,903,200,1.29,44.01,1.94,94.17,903-200
18,903,800,1.22,20.73,3.66,90.24,903-800
18,903,9410,21.43,57.14,0.0,78.57,903-9410
18,910,20,0.54,20.7,3.49,93.01,910-20
18,910,40,0.7,14.08,3.52,93.66,910-40
18,910,80,1.2,25.7,12.05,81.93,910-80
18,910,300,1.62,18.83,4.55,90.91,910-300
18,980,20,0.69,34.83,11.72,86.21,980-20
18,980,40,0.63,31.43,11.75,85.08,980-40
18,994,20,0.0,43.81,0.0,100.0,994-20
18,994,40,1.01,40.4,0.0,97.98,994-40
18,1015,20,1.19,5.78,2.57,91.1,1015-20
18,1015,70,0.21,6.07,4.39,91.63,1015-70
18,1015,75,2.71,11.14,3.61,87.95,1015-75
18,1015,90,1.02,3.48,2.04,92.43,1015-90
18,1015,100,1.44,7.19,4.89,88.06,1015-100
18,1029,20,1.08,17.57,9.46,86.22,1029-20
18,1029,40,0.62,8.7,5.28,91.61,1029-40
18,1029,200,0.33,18.03,10.82,85.25,1029-200
18,1071,100,3.23,0.0,6.45,83.87,1071-100
18,1071,110,2.35,59.73,1.68,85.57,1071-110
18,1071,200,0.57,46.29,1.71,90.29,1071-200
18,1071,400,0.42,39.83,2.12,91.53,1071-400
18,1071,450,0.0,57.14,9.52,85.71,1071-450
18,1080,100,1.43,46.44,1.63,91.65,1080-100
18,1080,200,1.56,41.15,2.6,89.58,1080-200
18,1080,400,0.82,36.63,0.82,93.0,1080-400
18,1080,800,0.0,27.91,4.65,79.07,1080-800
18,1080,9410,0.0,0.0,0.0,85.71,1080-9410
18,1085,20,0.95,40.9,17.97,77.78,1085-20
18,1085,30,1.96,32.49,12.32,84.59,1085-30
18,1085,40,0.26,20.1,7.47,90.98,1085-40
18,1092,40,1.74,35.96,1.93,90.73,1092-40
18,1092,60,1.81,30.17,2.74,91.37,1092-60
18,1092,100,0.58,15.2,4.09,86.84,1092-100
18,1092,110,1.52,41.88,4.06,84.52,1092-110
18,1092,120,0.96,29.9,0.96,94.02,1092-120
18,1092,140,0.0,27.21,0.0,97.28,1092-140
18,1092,160,0.28,45.53,1.4,92.74,1092-160
18,1092,200,0.26,25.13,2.33,94.56,1092-200
18,1092,220,1.46,53.85,3.12,89.4,1092-220
18,1120,20,0.0,47.4,0.0,97.4,1120-20
18,1120,40,0.0,46.9,0.88,97.35,1120-40
18,1120,60,0.0,51.81,0.0,97.59,1120-60
18,1127,20,0.0,33.73,2.66,94.08,1127-20
18,1127,40,0.0,32.45,4.26,91.49,1127-40
18,1127,60,0.0,32.53,1.2,97.59,1127-60
18,1134,40,2.22,35.56,13.09,82.22,1134-40
18,1134,60,2.03,30.23,14.83,81.1,1134-60
18,1134,80,2.25,36.52,16.01,79.78,1134-80
18,1141,20,0.61,49.09,16.06,79.09,1141-20
18,1141,40,1.01,34.55,10.3,86.26,1141-40
18,1141,60,2.78,58.33,15.28,76.39,1141-60
18,1141,100,1.03,60.0,13.85,80.26,1141-100
18,1155,20,0.58,34.49,4.93,91.01,1155-20
18,1155,40,1.59,26.67,3.17,92.38,1155-40
18,1162,20,0.0,58.97,30.77,65.9,1162-20
18,1162,40,0.36,42.35,19.22,77.58,1162-40
18,1162,120,0.0,63.04,26.09,67.39,1162-120
18,1162,210,0.48,53.85,24.52,73.08,1162-210
18,1162,9100,0.0,0.0,0.0,100.0,1162-9100
18,1169,40,0.0,42.56,9.52,86.9,1169-40
18,1169,60,0.0,37.5,5.29,91.83,1169-60
18,1169,200,0.0,35.9,1.92,94.87,1169-200
18,1176,20,0.44,42.36,1.97,95.41,1176-20
18,1176,40,1.6,43.88,1.6,94.41,1176-40
18,1183,20,1.27,25.64,6.78,85.17,1183-20
18,1183,40,1.48,19.75,4.44,87.65,1183-40
18,1183,80,0.82,26.58,8.49,85.21,1183-80
18,1183,110,1.77,15.93,8.85,86.73,1183-110
18,1204,20,1.5,67.0,1.5,91.5,1204-20
18,1204,40,2.8,51.4,1.87,93.46,1204-40
18,1204,300,0.0,52.94,2.35,92.94,1204-300
18,1218,22,0.0,47.31,4.3,58.6,1218-22
18,1218,40,0.22,40.4,3.35,53.79,1218-40
18,1218,60,0.39,42.75,1.96,62.75,1218-60
18,1232,20,0.0,44.49,1.98,94.49,1232-20
18,1232,40,0.0,39.41,1.48,92.12,1232-40
18,1232,80,0.0,43.28,6.72,90.3,1232-80
18,1246,20,0.45,36.79,4.51,91.87,1246-20
18,1246,40,0.0,28.69,2.95,96.2,1246-40
18,1253,22,8.82,58.82,23.92,58.24,1253-22
18,1253,40,7.76,54.99,24.1,62.6,1253-40
18,1253,50,6.11,53.71,14.85,64.63,1253-50
18,1253,60,4.59,36.7,9.17,82.57,1253-60
18,1253,80,7.92,55.47,23.02,61.13,1253-80
18,1253,120,12.15,69.63,21.03,59.81,1253-120
18,1253,140,3.66,68.86,15.38,67.4,1253-140
18,1260,40,0.78,43.52,7.51,85.49,1260-40
18,1260,50,0.76,43.51,8.02,85.5,1260-50
18,1260,60,1.05,27.97,6.64,87.76,1260-60
18,1260,420,0.0,27.03,0.0,94.59,1260-420
18,1295,40,0.48,25.6,9.66,86.96,1295-40
18,1295,160,0.65,38.13,23.73,74.3,1295-160
18,1309,20,2.2,13.63,7.47,85.49,1309-20
18,1309,40,3.09,12.37,8.76,85.05,1309-40
18,1309,60,1.85,14.81,5.56,88.89,1309-60
18,1316,20,1.81,17.67,5.02,86.55,1316-20
18,1316,40,3.9,16.18,4.57,84.59,1316-40
18,1316,50,3.65,18.92,6.15,80.98,1316-50
18,1316,100,1.32,6.95,3.64,85.1,1316-100
18,1316,140,1.38,15.13,3.93,84.09,1316-140
18,1316,160,1.94,17.73,7.48,78.39,1316-160
18,1376,40,0.46,9.72,4.63,89.58,1376-40
18,1376,60,0.96,12.98,5.77,89.66,1376-60
18,1376,100,0.0,5.56,4.63,87.96,1376-100
18,1376,120,0.21,8.44,5.15,91.14,1376-120
18,1376,140,0.73,11.91,4.86,89.79,1376-140
18,1376,160,0.0,11.24,10.44,87.95,1376-160
18,1376,180,0.72,9.42,2.9,90.58,1376-180
18,1376,240,0.56,10.99,4.79,88.73,1376-240
18,1376,450,1.11,7.78,4.44,91.11,1376-450
18,1376,460,0.0,10.67,7.33,88.67,1376-460
18,1376,470,0.0,7.23,4.82,87.95,1376-470
18,1380,10,2.51,73.12,51.97,42.29,1380-10
18,1380,20,1.93,56.35,49.72,46.96,1380-20
18,1380,45,1.51,68.77,56.68,39.04,1380-45
18,1380,60,1.72,68.45,54.29,42.27,1380-60
18,1380,150,1.45,61.23,54.35,38.41,1380-150
18,1380,9401,0.0,0.0,42.86,57.14,1380-9401
18,1407,40,0.51,20.51,2.56,92.31,1407-40
18,1407,60,0.37,19.96,3.14,92.24,1407-60
18,1407,80,0.45,14.73,4.02,92.63,1407-80
18,1407,100,0.29,16.86,6.0,90.86,1407-100
18,1414,20,2.3,15.54,4.68,86.91,1414-20
18,1414,30,1.09,17.98,4.96,85.74,1414-30
18,1414,40,1.69,21.02,5.93,84.75,1414-40
18,1414,50,0.69,13.06,3.44,87.11,1414-50
18,1414,100,1.23,16.49,6.01,87.67,1414-100
18,1414,200,1.1,18.11,4.25,87.56,1414-200
18,1421,40,0.0,36.84,1.32,96.71,1421-40
18,1421,50,0.92,39.45,1.83,94.5,1421-50
18,1421,80,0.95,68.57,0.0,98.1,1421-80
18,1421,100,1.67,29.17,5.83,87.5,1421-100
18,1428,20,1.74,36.94,4.06,88.2,1428-20
18,1428,40,1.19,25.65,3.56,91.21,1428-40
18,1428,50,3.25,43.9,2.44,88.62,1428-50
18,1428,60,4.35,44.93,4.35,82.61,1428-60
18,1449,20,0.0,17.65,5.88,85.29,1449-20
18,1491,20,0.0,52.85,2.59,83.94,1491-20
18,1491,40,1.74,50.43,1.74,93.04,1491-40
18,1491,50,1.92,50.0,3.85,90.38,1491-50
18,1499,20,0.62,38.05,5.82,91.68,1499-20
18,1499,40,1.95,29.5,3.47,91.76,1499-40
18,1526,40,0.0,41.69,5.76,86.7,1526-40
18,1526,80,0.0,54.55,3.03,92.42,1526-80
18,1526,90,0.51,30.33,3.6,92.29,1526-90
18,1526,95,1.22,37.8,4.27,89.63,1526-95
18,1526,100,0.0,48.81,5.95,84.52,1526-100
18,1526,110,0.0,14.49,4.35,92.75,1526-110
18,1526,250,1.82,38.18,3.64,85.45,1526-250
18,1526,410,0.0,33.33,4.76,95.24,1526-410
18,1540,20,0.82,23.01,6.3,87.95,1540-20
18,1540,40,1.0,16.53,5.18,91.49,1540-40
18,1540,60,1.91,23.98,5.45,89.1,1540-60
18,1540,100,0.96,25.16,7.01,86.62,1540-100
18,1554,100,3.18,51.24,8.48,75.97,1554-100
18,1554,111,2.08,23.88,3.46,87.2,1554-111
18,1554,120,0.54,3.94,5.19,80.86,1554-120
18,1554,170,2.65,39.76,4.49,77.88,1554-170
18,1554,200,3.81,66.28,9.68,61.58,1554-200
18,1554,220,1.5,55.64,2.63,66.17,1554-220
18,1554,240,7.6,70.72,4.56,66.16,1554-240
18,1554,280,2.25,38.88,9.89,74.16,1554-280
18,1554,340,2.01,20.8,4.48,82.3,1554-340
18,1554,350,3.36,29.53,5.37,78.75,1554-350
18,1554,400,3.97,33.28,3.75,75.24,1554-400
18,1554,420,2.37,33.41,5.21,75.12,1554-420
18,1554,422,2.29,44.02,5.6,78.63,1554-422
18,1554,460,1.38,28.15,8.27,75.79,1554-460
18,1554,480,2.06,33.33,6.53,75.95,1554-480
18,1554,500,1.17,35.09,7.02,78.07,1554-500
18,1554,520,1.27,37.21,4.02,69.77,1554-520
18,1554,540,2.89,27.68,7.58,79.18,1554-540
18,1554,560,2.29,36.64,2.48,79.96,1554-560
18,1554,580,5.7,58.23,6.33,70.25,1554-580
18,1554,590,2.49,52.61,5.44,71.88,1554-590
18,1554,800,22.22,0.0,11.11,55.56,1554-800
18,1561,20,0.35,27.87,2.44,95.47,1561-20
18,1561,23,0.74,22.06,0.0,94.12,1561-23
18,1561,40,2.27,26.14,0.0,96.02,1561-40
18,1568,40,1.2,31.41,9.11,85.25,1568-40
18,1568,60,0.56,31.27,8.73,86.48,1568-60
18,1568,80,2.05,22.16,8.01,88.27,1568-80
18,1568,160,0.0,30.0,6.0,87.0,1568-160
18,1582,20,0.68,49.66,2.72,93.2,1582-20
18,1582,40,0.0,35.56,1.11,84.44,1582-40
18,1582,250,0.0,46.88,3.13,92.19,1582-250
18,1600,40,0.68,34.69,10.88,87.76,1600-40
18,1600,60,1.17,30.74,9.34,87.94,1600-60
18,1600,80,0.47,33.33,8.92,88.26,1600-80
18,1631,20,0.68,23.63,6.85,88.01,1631-20
18,1631,40,0.0,24.24,2.27,93.94,1631-40
18,1638,40,1.28,23.4,13.57,80.77,1638-40
18,1638,60,1.56,31.03,14.34,80.7,1638-60
18,1638,80,0.48,22.2,5.73,90.45,1638-80
18,1638,100,1.43,35.71,15.18,81.07,1638-100
18,1638,120,1.76,45.15,23.1,70.72,1638-120
18,1638,800,3.41,7.95,8.52,85.8,1638-800
18,1638,9401,2.86,40.0,11.43,85.71,1638-9401
